 tracl=39	 tracr=39	  fldr=4	 tracf=6	   cdp=12	  trid=1	offset=-1225	scalel=1	    sx=150	    gx=-1075	    ns=251	    dt=8000	

 tracl=40	 tracr=40	  fldr=3	 tracf=8	   cdp=12	  trid=1	offset=-1125	scalel=1	    sx=100	    gx=-1025	    ns=251	    dt=8000	

 tracl=41	 tracr=41	  fldr=2	 tracf=10	   cdp=12	  trid=1	offset=-1025	scalel=1	    sx=50	    gx=-975	    ns=251	    dt=8000	

 tracl=42	 tracr=42	  fldr=1	 tracf=12	   cdp=12	  trid=1	offset=-925	scalel=1	    sx=0	    gx=-925	    ns=251	    dt=8000	

 tracl=43	 tracr=43	  fldr=7	 tracf=1	   cdp=13	  trid=1	offset=-1475	scalel=1	    sx=300	    gx=-1175	    ns=251	    dt=8000	

 tracl=44	 tracr=44	  fldr=6	 tracf=3	   cdp=13	  trid=1	offset=-1375	scalel=1	    sx=250	    gx=-1125	    ns=251	    dt=8000	

 tracl=45	 tracr=45	  fldr=5	 tracf=5	   cdp=13	  trid=1	offset=-1275	scalel=1	    sx=200	    gx=-1075	    ns=251	    dt=8000	

 tracl=46	 tracr=46	  fldr=4	 tracf=7	   cdp=13	  trid=1	offset=-1175	scalel=1	    sx=150	    gx=-1025	    ns=251	    dt=8000	

 tracl=47	 tracr=47	  fldr=3	 tracf=9	   cdp=13	  trid=1	offset=-1075	scalel=1	    sx=100	    gx=-975	    ns=251	    dt=8000	

 tracl=48	 tracr=48	  fldr=2	 tracf=11	   cdp=13	  trid=1	offset=-975	scalel=1	    sx=50	    gx=-925	    ns=251	    dt=8000	

 tracl=49	 tracr=49	  fldr=1	 tracf=13	   cdp=13	  trid=1	offset=-875	scalel=1	    sx=0	    gx=-875	    ns=251	    dt=8000	

 tracl=50	 tracr=50	  fldr=7	 tracf=2	   cdp=14	  trid=1	offset=-1425	scalel=1	    sx=300	    gx=-1125	    ns=251	    dt=8000	

 tracl=51	 tracr=51	  fldr=6	 tracf=4	   cdp=14	  trid=1	offset=-1325	scalel=1	    sx=250	    gx=-1075	    ns=251	    dt=8000	

 tracl=52	 tracr=52	  fldr=5	 tracf=6	   cdp=14	  trid=1	offset=-1225	scalel=1	    sx=200	    gx=-1025	    ns=251	    dt=8000	

 tracl=53	 tracr=53	  fldr=4	 tracf=8	   cdp=14	  trid=1	offset=-1125	scalel=1	    sx=150	    gx=-975	    ns=251	    dt=8000	

 tracl=54	 tracr=54	  fldr=3	 tracf=10	   cdp=14	  trid=1	offset=-1025	scalel=1	    sx=100	    gx=-925	    ns=251	    dt=8000	

 tracl=55	 tracr=55	  fldr=2	 tracf=12	   cdp=14	  trid=1	offset=-925	scalel=1	    sx=50	    gx=-875	    ns=251	    dt=8000	

 tracl=56	 tracr=56	  fldr=1	 tracf=14	   cdp=14	  trid=1	offset=-825	scalel=1	    sx=0	    gx=-825	    ns=251	    dt=8000	

 tracl=57	 tracr=57	  fldr=8	 tracf=1	   cdp=15	  trid=1	offset=-1475	scalel=1	    sx=350	    gx=-1125	    ns=251	    dt=8000	

 tracl=58	 tracr=58	  fldr=7	 tracf=3	   cdp=15	  trid=1	offset=-1375	scalel=1	    sx=300	    gx=-1075	    ns=251	    dt=8000	

 tracl=59	 tracr=59	  fldr=6	 tracf=5	   cdp=15	  trid=1	offset=-1275	scalel=1	    sx=250	    gx=-1025	    ns=251	    dt=8000	

 tracl=60	 tracr=60	  fldr=5	 tracf=7	   cdp=15	  trid=1	offset=-1175	scalel=1	    sx=200	    gx=-975	    ns=251	    dt=8000	

 tracl=61	 tracr=61	  fldr=4	 tracf=9	   cdp=15	  trid=1	offset=-1075	scalel=1	    sx=150	    gx=-925	    ns=251	    dt=8000	

 tracl=62	 tracr=62	  fldr=3	 tracf=11	   cdp=15	  trid=1	offset=-975	scalel=1	    sx=100	    gx=-875	    ns=251	    dt=8000	

 tracl=63	 tracr=63	  fldr=2	 tracf=13	   cdp=15	  trid=1	offset=-875	scalel=1	    sx=50	    gx=-825	    ns=251	    dt=8000	

 tracl=64	 tracr=64	  fldr=1	 tracf=15	   cdp=15	  trid=1	offset=-775	scalel=1	    sx=0	    gx=-775	    ns=251	    dt=8000	

 tracl=65	 tracr=65	  fldr=8	 tracf=2	   cdp=16	  trid=1	offset=-1425	scalel=1	    sx=350	    gx=-1075	    ns=251	    dt=8000	

 tracl=66	 tracr=66	  fldr=7	 tracf=4	   cdp=16	  trid=1	offset=-1325	scalel=1	    sx=300	    gx=-1025	    ns=251	    dt=8000	

 tracl=67	 tracr=67	  fldr=6	 tracf=6	   cdp=16	  trid=1	offset=-1225	scalel=1	    sx=250	    gx=-975	    ns=251	    dt=8000	

 tracl=68	 tracr=68	  fldr=5	 tracf=8	   cdp=16	  trid=1	offset=-1125	scalel=1	    sx=200	    gx=-925	    ns=251	    dt=8000	

 tracl=69	 tracr=69	  fldr=4	 tracf=10	   cdp=16	  trid=1	offset=-1025	scalel=1	    sx=150	    gx=-875	    ns=251	    dt=8000	

 tracl=70	 tracr=70	  fldr=3	 tracf=12	   cdp=16	  trid=1	offset=-925	scalel=1	    sx=100	    gx=-825	    ns=251	    dt=8000	

 tracl=71	 tracr=71	  fldr=2	 tracf=14	   cdp=16	  trid=1	offset=-825	scalel=1	    sx=50	    gx=-775	    ns=251	    dt=8000	

 tracl=72	 tracr=72	  fldr=1	 tracf=16	   cdp=16	  trid=1	offset=-725	scalel=1	    sx=0	    gx=-725	    ns=251	    dt=8000	

 tracl=73	 tracr=73	  fldr=9	 tracf=1	   cdp=17	  trid=1	offset=-1475	scalel=1	    sx=400	    gx=-1075	    ns=251	    dt=8000	

 tracl=74	 tracr=74	  fldr=8	 tracf=3	   cdp=17	  trid=1	offset=-1375	scalel=1	    sx=350	    gx=-1025	    ns=251	    dt=8000	

 tracl=75	 tracr=75	  fldr=7	 tracf=5	   cdp=17	  trid=1	offset=-1275	scalel=1	    sx=300	    gx=-975	    ns=251	    dt=8000	

